date_utc,price_usd,high_usd,low_usd,source
2024-11-01,1.000400,1.001500,1.000100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-02,1.000200,1.000500,1.000200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-03,1.000400,1.000400,1.000200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-04,1.000600,1.001100,1.000300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-05,1.000100,1.000700,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-06,0.999100,1.000100,0.998000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-07,0.999300,0.999700,0.998000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-08,0.999300,0.999400,0.998500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-09,0.999500,0.999600,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-10,0.999100,0.999700,0.998600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-11,0.998700,0.999400,0.997500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-12,0.999000,0.999600,0.997800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-13,0.998600,0.999100,0.997300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-14,1.000000,1.000200,0.998600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-15,0.999700,1.000200,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-16,0.999500,0.999800,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-17,0.999800,1.000200,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-18,0.999300,1.000100,0.998700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-19,0.998700,0.999600,0.998200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-20,0.999200,0.999400,0.998200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-21,0.998800,1.000000,0.998700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-22,0.998900,0.999500,0.998500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-23,0.999100,0.999100,0.997100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-24,0.999000,0.999700,0.998500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-25,1.000100,1.000400,0.998600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-26,1.000400,1.000700,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-27,0.998900,1.000500,0.998300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-28,0.999900,1.000000,0.998800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-29,0.999600,1.000000,0.998600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-11-30,0.999500,0.999700,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-01,0.999300,0.999900,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-02,0.999700,1.000000,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-03,0.999200,1.000500,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-04,0.998400,0.999700,0.997400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-05,0.998800,0.999800,0.997100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-06,0.998300,0.999700,0.997800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-07,0.999000,0.999200,0.998200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-08,0.999200,0.999600,0.998900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-09,0.999500,1.000800,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-10,0.999300,1.000000,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-11,0.999300,0.999900,0.998700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-12,0.999800,0.999900,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-13,0.999800,1.000200,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-14,1.000200,1.000200,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-15,1.000200,1.000600,0.999900,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-16,0.999700,1.000700,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-17,0.999900,1.000300,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-18,1.000400,1.001100,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-19,1.000800,1.002200,1.000300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-20,1.000500,1.001900,1.000100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-21,1.000600,1.000800,1.000200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-22,1.001000,1.001300,1.000400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-23,1.001200,1.001600,1.000700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-24,1.000700,1.001700,1.000400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-25,1.000900,1.001200,1.000600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-26,1.001100,1.001400,1.000600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-27,1.001500,1.002100,1.001000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-28,1.001900,1.002000,1.001400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-29,1.001800,1.002300,1.001400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-30,1.001800,1.003100,1.000800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2024-12-31,1.001900,1.002000,1.001100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-01-01,1.002100,1.002700,1.001700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-01-02,1.000900,1.002200,1.000700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-01-03,1.000500,1.001100,1.000200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-01-04,1.000100,1.000500,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-01-05,1.000100,1.000400,1.000000,binance.com/api/v3/klines USDCUSDT 1d ohlc
